match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,is_historical_entity,has_halftime_data,went_to_extra_time,went_to_penalties,is_walkover,total_goals_match,goal_difference,is_draw,team1_result,team2_result,tournament_stage_order
62,1950,Brazil,1950-06-25,First round,First round,Group 2,Spain,United States,,,3,1,,,,,Spain,Normal Time,Estádio Durival de Britto,Curitiba,False,False,False,False,False,4,2,False,Win,Loss,1
63,1950,Brazil,1950-06-29,First round,First round,Group 2,Spain,Chile,,,2,0,,,,,Spain,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,False,False,False,False,2,2,False,Win,Loss,1
64,1950,Brazil,1950-06-29,First round,First round,Group 2,United States,England,,,1,0,,,,,United States,Normal Time,Estádio Independência,Belo Horizonte,False,False,False,False,False,1,1,False,Win,Loss,1
65,1950,Brazil,1950-07-02,First round,First round,Group 2,Spain,England,,,1,0,,,,,Spain,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,False,False,False,False,1,1,False,Win,Loss,1
66,1950,Brazil,1950-07-02,First round,First round,Group 2,Chile,United States,,,5,2,,,,,Chile,Normal Time,Estádio Ilha do Retiro,Recife,False,False,False,False,False,7,3,False,Win,Loss,1
67,1950,Brazil,1950-06-25,First round,First round,Group 3,Sweden,Italy,,,3,2,,,,,Sweden,Normal Time,Estádio do Pacaembu,São Paulo,False,False,False,False,False,5,1,False,Win,Loss,1
68,1950,Brazil,1950-06-29,First round,First round,Group 3,Sweden,Paraguay,,,2,2,,,,,Draw,Draw,Estádio Durival Britto,Curitiba,False,False,False,False,False,4,0,True,Draw,Draw,1
69,1950,Brazil,1950-07-02,First round,First round,Group 3,Italy,Paraguay,,,2,0,,,,,Italy,Normal Time,Estádio do Pacaembu,São Paulo,False,False,False,False,False,2,2,False,Win,Loss,1
70,1950,Brazil,1950-07-02,First round,First round,Group 4,Uruguay,Bolivia,,,8,0,,,,,Uruguay,Normal Time,Estádio Independência,Belo Horizonte,False,False,False,False,False,8,8,False,Win,Loss,1
71,1950,Brazil,1950-07-09,Final Round,Final Round,,Uruguay,Spain,,,2,2,,,,,Draw,Draw,Estádio do Pacaembu,São Paulo,False,False,False,False,False,4,0,True,Draw,Draw,2
72,1950,Brazil,1950-07-09,Final Round,Final Round,,Brazil,Sweden,,,7,1,,,,,Brazil,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,False,False,False,False,8,6,False,Win,Loss,2
73,1950,Brazil,1950-07-13,Final Round,Final Round,,Brazil,Spain,,,6,1,,,,,Brazil,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,False,False,False,False,7,5,False,Win,Loss,2
74,1950,Brazil,1950-07-13,Final Round,Final Round,,Uruguay,Sweden,,,3,2,,,,,Uruguay,Normal Time,Estádio do Pacaembu,São Paulo,False,False,False,False,False,5,1,False,Win,Loss,2
75,1950,Brazil,1950-07-16,Final Round,Final Round,,Sweden,Spain,,,3,1,,,,,Sweden,Normal Time,Estádio do Pacaembu,São Paulo,False,False,False,False,False,4,2,False,Win,Loss,2
76,1950,Brazil,1950-07-16,Final Round,Final Round,,Uruguay,Brazil,,,2,1,,,,,Uruguay,Normal Time,Estádio do Maracanã,Rio de Janeiro,False,False,False,False,False,3,1,False,Win,Loss,2
77,1954,Switzerland,1954-06-16,Group Stage,Matchday 1,Group 1,Brazil,Mexico,,,5,0,,,,,Brazil,Normal Time,Charmilles Stadium,Geneva,False,False,False,False,False,5,5,False,Win,Loss,1
78,1954,Switzerland,1954-06-16,Group Stage,Matchday 1,Group 1,Yugoslavia,France,,,1,0,,,,,Yugoslavia,Normal Time,Stade Olympique de la Pontaise,Lausanne,True,False,False,False,False,1,1,False,Win,Loss,1
79,1954,Switzerland,1954-06-19,Group Stage,Matchday 2,Group 1,Brazil,Yugoslavia,,,1,1,1,1,,,Draw,Draw (after Extra Time),Stade Olympique de la Pontaise,Lausanne,True,False,True,False,False,2,0,True,Draw,Draw,1
80,1954,Switzerland,1954-06-19,Group Stage,Matchday 2,Group 1,France,Mexico,,,3,2,,,,,France,Normal Time,Charmilles Stadium,Geneva,False,False,False,False,False,5,1,False,Win,Loss,1
81,1954,Switzerland,1954-06-17,Group Stage,Matchday 1,Group 2,West Germany,Turkey,,,4,1,,,,,West Germany,Normal Time,Wankdorf Stadium,Bern,True,False,False,False,False,5,3,False,Win,Loss,1
82,1954,Switzerland,1954-06-17,Group Stage,Matchday 1,Group 2,Hungary,South Korea,,,9,0,,,,,Hungary,Normal Time,Hardturm Stadium,Zürich,False,False,False,False,False,9,9,False,Win,Loss,1
83,1954,Switzerland,1954-06-20,Group Stage,Matchday 2,Group 2,Hungary,West Germany,,,8,3,,,,,Hungary,Normal Time,St. Jakob Stadium,Basel,True,False,False,False,False,11,5,False,Win,Loss,1
84,1954,Switzerland,1954-06-20,Group Stage,Matchday 2,Group 2,Turkey,South Korea,,,7,0,,,,,Turkey,Normal Time,Charmilles Stadium,Geneva,False,False,False,False,False,7,7,False,Win,Loss,1
85,1954,Switzerland,1954-06-23,Group Stage,Group 2 Play-off,,West Germany,Turkey,,,7,2,,,,,West Germany,Normal Time,Hardturm Stadium,Zürich,True,False,False,False,False,9,5,False,Win,Loss,1
86,1954,Switzerland,1954-06-16,Group Stage,Matchday 1,Group 3,Uruguay,Czechoslovakia,,,2,0,,,,,Uruguay,Normal Time,Wankdorf Stadium,Bern,True,False,False,False,False,2,2,False,Win,Loss,1
87,1954,Switzerland,1954-06-16,Group Stage,Matchday 1,Group 3,Austria,Scotland,,,1,0,,,,,Austria,Normal Time,Hardturm Stadium,Zürich,False,False,False,False,False,1,1,False,Win,Loss,1
88,1954,Switzerland,1954-06-19,Group Stage,Matchday 2,Group 3,Austria,Czechoslovakia,,,5,0,,,,,Austria,Normal Time,Hardturm Stadium,Zürich,True,False,False,False,False,5,5,False,Win,Loss,1
89,1954,Switzerland,1954-06-19,Group Stage,Matchday 2,Group 3,Uruguay,Scotland,,,7,0,,,,,Uruguay,Normal Time,St. Jakob Stadium,Basel,False,False,False,False,False,7,7,False,Win,Loss,1
90,1954,Switzerland,1954-06-17,Group Stage,Matchday 1,Group 4,England,Belgium,,,3,3,4,4,,,Draw,Draw (after Extra Time),St. Jakob Stadium,Basel,False,False,True,False,False,6,0,True,Draw,Draw,1
91,1954,Switzerland,1954-06-17,Group Stage,Matchday 1,Group 4,Switzerland,Italy,,,2,1,,,,,Switzerland,Normal Time,Stade Olympique de la Pontaise,Lausanne,False,False,False,False,False,3,1,False,Win,Loss,1
92,1954,Switzerland,1954-06-20,Group Stage,Matchday 2,Group 4,England,Switzerland,,,2,0,,,,,England,Normal Time,Wankdorf Stadium,Bern,False,False,False,False,False,2,2,False,Win,Loss,1
93,1954,Switzerland,1954-06-20,Group Stage,Matchday 2,Group 4,Italy,Belgium,,,4,1,,,,,Italy,Normal Time,Cornaredo Stadium,Lugano,False,False,False,False,False,5,3,False,Win,Loss,1
94,1954,Switzerland,1954-06-23,Group Stage,Group 4 Play-off,,Switzerland,Italy,,,4,1,,,,,Switzerland,Normal Time,St. Jakob Stadium,Basel,False,False,False,False,False,5,3,False,Win,Loss,1
95,1954,Switzerland,1954-06-26,Quarter-final,Quarter-finals,,Austria,Switzerland,,,7,5,,,,,Austria,Normal Time,Stade Olympique de la Pontaise,Lausanne,False,False,False,False,False,12,2,False,Win,Loss,4
96,1954,Switzerland,1954-06-26,Quarter-final,Quarter-finals,,Uruguay,England,,,4,2,,,,,Uruguay,Normal Time,St. Jakob Stadium,Basel,False,False,False,False,False,6,2,False,Win,Loss,4
97,1954,Switzerland,1954-06-27,Quarter-final,Quarter-finals,,Yugoslavia,West Germany,,,0,2,,,,,West Germany,Normal Time,Charmilles Stadium,Geneva,True,False,False,False,False,2,2,False,Loss,Win,4
98,1954,Switzerland,1954-06-27,Quarter-final,Quarter-finals,,Brazil,Hungary,,,2,4,,,,,Hungary,Normal Time,Wankdorf Stadium,Bern,False,False,False,False,False,6,2,False,Loss,Win,4
99,1954,Switzerland,1954-06-30,Semi-final,Semi-finals,,West Germany,Austria,,,6,1,,,,,West Germany,Normal Time,St. Jakob Stadium,Basel,True,False,False,False,False,7,5,False,Win,Loss,5
