match_id,world_cup_year,host_country,date,stage,tournament_stage_order,group,result_method,is_walkover,went_to_extra_time,went_to_penalties,has_halftime_data,team,opponent,goals_for,goals_against,result,is_historical_entity
41,1938,France,1938-06-05,First round,1,,Extra Time,False,True,False,True,Poland,Brazil,4,4,Loss,False
42,1938,France,1938-06-05,First round,1,,Extra Time,False,True,False,True,Czechoslovakia,Netherlands,0,0,Win,True
42,1938,France,1938-06-05,First round,1,,Extra Time,False,True,False,True,Netherlands,Czechoslovakia,0,0,Loss,False
43,1938,France,1938-06-05,First round,1,,Walkover,True,False,False,False,Austria,Sweden,,,Loss,False
43,1938,France,1938-06-05,First round,1,,Walkover,True,False,False,False,Sweden,Austria,,,Win,False
44,1938,France,1938-06-09,"First round, Replays",1,,Normal Time,False,False,False,True,Cuba,Romania,2,1,Win,False
44,1938,France,1938-06-09,"First round, Replays",1,,Normal Time,False,False,False,True,Romania,Cuba,1,2,Loss,False
45,1938,France,1938-06-09,"First round, Replays",1,,Normal Time,False,False,False,True,Germany,Switzerland,2,4,Loss,False
45,1938,France,1938-06-09,"First round, Replays",1,,Normal Time,False,False,False,True,Switzerland,Germany,4,2,Win,False
46,1938,France,1938-06-12,Quarter-final,4,,Draw (after Extra Time),False,True,False,True,Brazil,Czechoslovakia,1,1,Draw,False
46,1938,France,1938-06-12,Quarter-final,4,,Draw (after Extra Time),False,True,False,True,Czechoslovakia,Brazil,1,1,Draw,True
47,1938,France,1938-06-12,Quarter-final,4,,Normal Time,False,False,False,True,Hungary,Switzerland,2,0,Win,False
47,1938,France,1938-06-12,Quarter-final,4,,Normal Time,False,False,False,True,Switzerland,Hungary,0,2,Loss,False
48,1938,France,1938-06-12,Quarter-final,4,,Normal Time,False,False,False,True,Cuba,Sweden,0,8,Loss,False
48,1938,France,1938-06-12,Quarter-final,4,,Normal Time,False,False,False,True,Sweden,Cuba,8,0,Win,False
49,1938,France,1938-06-12,Quarter-final,4,,Normal Time,False,False,False,True,France,Italy,1,3,Loss,False
49,1938,France,1938-06-12,Quarter-final,4,,Normal Time,False,False,False,True,Italy,France,3,1,Win,False
50,1938,France,1938-06-14,Quarter-final,4,,Normal Time,False,False,False,True,Brazil,Czechoslovakia,2,1,Win,False
50,1938,France,1938-06-14,Quarter-final,4,,Normal Time,False,False,False,True,Czechoslovakia,Brazil,1,2,Loss,True
51,1938,France,1938-06-16,Semi-final,5,,Normal Time,False,False,False,True,Hungary,Sweden,5,1,Win,False
51,1938,France,1938-06-16,Semi-final,5,,Normal Time,False,False,False,True,Sweden,Hungary,1,5,Loss,False
52,1938,France,1938-06-16,Semi-final,5,,Normal Time,False,False,False,True,Brazil,Italy,1,2,Loss,False
52,1938,France,1938-06-16,Semi-final,5,,Normal Time,False,False,False,True,Italy,Brazil,2,1,Win,False
53,1938,France,1938-06-19,Third Place Play-off,6,,Normal Time,False,False,False,True,Brazil,Sweden,4,2,Win,False
53,1938,France,1938-06-19,Third Place Play-off,6,,Normal Time,False,False,False,True,Sweden,Brazil,2,4,Loss,False
54,1938,France,1938-06-19,Final,7,,Normal Time,False,False,False,True,Hungary,Italy,2,4,Loss,False
54,1938,France,1938-06-19,Final,7,,Normal Time,False,False,False,True,Italy,Hungary,4,2,Win,False
55,1950,Brazil,1950-06-24,First round,1,Group 1,Normal Time,False,False,False,True,Brazil,Mexico,4,0,Win,False
55,1950,Brazil,1950-06-24,First round,1,Group 1,Normal Time,False,False,False,True,Mexico,Brazil,0,4,Loss,False
56,1950,Brazil,1950-06-25,First round,1,Group 1,Normal Time,False,False,False,True,Switzerland,Yugoslavia,0,3,Loss,False
56,1950,Brazil,1950-06-25,First round,1,Group 1,Normal Time,False,False,False,True,Yugoslavia,Switzerland,3,0,Win,True
57,1950,Brazil,1950-06-28,First round,1,Group 1,Draw,False,False,False,True,Brazil,Switzerland,2,2,Draw,False
57,1950,Brazil,1950-06-28,First round,1,Group 1,Draw,False,False,False,True,Switzerland,Brazil,2,2,Draw,False
58,1950,Brazil,1950-06-28,First round,1,Group 1,Normal Time,False,False,False,True,Mexico,Yugoslavia,1,4,Loss,False
58,1950,Brazil,1950-06-28,First round,1,Group 1,Normal Time,False,False,False,True,Yugoslavia,Mexico,4,1,Win,True
59,1950,Brazil,1950-07-01,First round,1,Group 1,Normal Time,False,False,False,True,Brazil,Yugoslavia,2,0,Win,False
59,1950,Brazil,1950-07-01,First round,1,Group 1,Normal Time,False,False,False,True,Yugoslavia,Brazil,0,2,Loss,True
60,1950,Brazil,1950-07-02,First round,1,Group 1,Normal Time,False,False,False,True,Mexico,Switzerland,1,2,Loss,False
60,1950,Brazil,1950-07-02,First round,1,Group 1,Normal Time,False,False,False,True,Switzerland,Mexico,2,1,Win,False
61,1950,Brazil,1950-06-25,First round,1,Group 2,Normal Time,False,False,False,False,Chile,England,0,2,Loss,False
61,1950,Brazil,1950-06-25,First round,1,Group 2,Normal Time,False,False,False,False,England,Chile,2,0,Win,False
62,1950,Brazil,1950-06-25,First round,1,Group 2,Normal Time,False,False,False,False,Spain,United States,3,1,Win,False
62,1950,Brazil,1950-06-25,First round,1,Group 2,Normal Time,False,False,False,False,United States,Spain,1,3,Loss,False
63,1950,Brazil,1950-06-29,First round,1,Group 2,Normal Time,False,False,False,False,Chile,Spain,0,2,Loss,False
63,1950,Brazil,1950-06-29,First round,1,Group 2,Normal Time,False,False,False,False,Spain,Chile,2,0,Win,False
64,1950,Brazil,1950-06-29,First round,1,Group 2,Normal Time,False,False,False,False,England,United States,0,1,Loss,False
64,1950,Brazil,1950-06-29,First round,1,Group 2,Normal Time,False,False,False,False,United States,England,1,0,Win,False
65,1950,Brazil,1950-07-02,First round,1,Group 2,Normal Time,False,False,False,False,England,Spain,0,1,Loss,False
65,1950,Brazil,1950-07-02,First round,1,Group 2,Normal Time,False,False,False,False,Spain,England,1,0,Win,False
66,1950,Brazil,1950-07-02,First round,1,Group 2,Normal Time,False,False,False,False,Chile,United States,5,2,Win,False
66,1950,Brazil,1950-07-02,First round,1,Group 2,Normal Time,False,False,False,False,United States,Chile,2,5,Loss,False
67,1950,Brazil,1950-06-25,First round,1,Group 3,Normal Time,False,False,False,False,Italy,Sweden,2,3,Loss,False
67,1950,Brazil,1950-06-25,First round,1,Group 3,Normal Time,False,False,False,False,Sweden,Italy,3,2,Win,False
68,1950,Brazil,1950-06-29,First round,1,Group 3,Draw,False,False,False,False,Paraguay,Sweden,2,2,Draw,False
68,1950,Brazil,1950-06-29,First round,1,Group 3,Draw,False,False,False,False,Sweden,Paraguay,2,2,Draw,False
69,1950,Brazil,1950-07-02,First round,1,Group 3,Normal Time,False,False,False,False,Italy,Paraguay,2,0,Win,False
69,1950,Brazil,1950-07-02,First round,1,Group 3,Normal Time,False,False,False,False,Paraguay,Italy,0,2,Loss,False
70,1950,Brazil,1950-07-02,First round,1,Group 4,Normal Time,False,False,False,False,Bolivia,Uruguay,0,8,Loss,False
70,1950,Brazil,1950-07-02,First round,1,Group 4,Normal Time,False,False,False,False,Uruguay,Bolivia,8,0,Win,False
71,1950,Brazil,1950-07-09,Final Round,2,,Draw,False,False,False,False,Spain,Uruguay,2,2,Draw,False
71,1950,Brazil,1950-07-09,Final Round,2,,Draw,False,False,False,False,Uruguay,Spain,2,2,Draw,False
72,1950,Brazil,1950-07-09,Final Round,2,,Normal Time,False,False,False,False,Brazil,Sweden,7,1,Win,False
72,1950,Brazil,1950-07-09,Final Round,2,,Normal Time,False,False,False,False,Sweden,Brazil,1,7,Loss,False
73,1950,Brazil,1950-07-13,Final Round,2,,Normal Time,False,False,False,False,Brazil,Spain,6,1,Win,False
73,1950,Brazil,1950-07-13,Final Round,2,,Normal Time,False,False,False,False,Spain,Brazil,1,6,Loss,False
74,1950,Brazil,1950-07-13,Final Round,2,,Normal Time,False,False,False,False,Sweden,Uruguay,2,3,Loss,False
74,1950,Brazil,1950-07-13,Final Round,2,,Normal Time,False,False,False,False,Uruguay,Sweden,3,2,Win,False
75,1950,Brazil,1950-07-16,Final Round,2,,Normal Time,False,False,False,False,Spain,Sweden,1,3,Loss,False
75,1950,Brazil,1950-07-16,Final Round,2,,Normal Time,False,False,False,False,Sweden,Spain,3,1,Win,False
76,1950,Brazil,1950-07-16,Final Round,2,,Normal Time,False,False,False,False,Brazil,Uruguay,1,2,Loss,False
76,1950,Brazil,1950-07-16,Final Round,2,,Normal Time,False,False,False,False,Uruguay,Brazil,2,1,Win,False
77,1954,Switzerland,1954-06-16,Group Stage,1,Group 1,Normal Time,False,False,False,False,Brazil,Mexico,5,0,Win,False
77,1954,Switzerland,1954-06-16,Group Stage,1,Group 1,Normal Time,False,False,False,False,Mexico,Brazil,0,5,Loss,False
78,1954,Switzerland,1954-06-16,Group Stage,1,Group 1,Normal Time,False,False,False,False,France,Yugoslavia,0,1,Loss,False
78,1954,Switzerland,1954-06-16,Group Stage,1,Group 1,Normal Time,False,False,False,False,Yugoslavia,France,1,0,Win,True
79,1954,Switzerland,1954-06-19,Group Stage,1,Group 1,Draw (after Extra Time),False,True,False,False,Brazil,Yugoslavia,1,1,Draw,False
79,1954,Switzerland,1954-06-19,Group Stage,1,Group 1,Draw (after Extra Time),False,True,False,False,Yugoslavia,Brazil,1,1,Draw,True
80,1954,Switzerland,1954-06-19,Group Stage,1,Group 1,Normal Time,False,False,False,False,France,Mexico,3,2,Win,False
80,1954,Switzerland,1954-06-19,Group Stage,1,Group 1,Normal Time,False,False,False,False,Mexico,France,2,3,Loss,False
81,1954,Switzerland,1954-06-17,Group Stage,1,Group 2,Normal Time,False,False,False,False,Turkey,West Germany,1,4,Loss,False
81,1954,Switzerland,1954-06-17,Group Stage,1,Group 2,Normal Time,False,False,False,False,West Germany,Turkey,4,1,Win,True
82,1954,Switzerland,1954-06-17,Group Stage,1,Group 2,Normal Time,False,False,False,False,Hungary,South Korea,9,0,Win,False
82,1954,Switzerland,1954-06-17,Group Stage,1,Group 2,Normal Time,False,False,False,False,South Korea,Hungary,0,9,Loss,False
83,1954,Switzerland,1954-06-20,Group Stage,1,Group 2,Normal Time,False,False,False,False,Hungary,West Germany,8,3,Win,False
83,1954,Switzerland,1954-06-20,Group Stage,1,Group 2,Normal Time,False,False,False,False,West Germany,Hungary,3,8,Loss,True
84,1954,Switzerland,1954-06-20,Group Stage,1,Group 2,Normal Time,False,False,False,False,South Korea,Turkey,0,7,Loss,False
84,1954,Switzerland,1954-06-20,Group Stage,1,Group 2,Normal Time,False,False,False,False,Turkey,South Korea,7,0,Win,False
85,1954,Switzerland,1954-06-23,Group Stage,1,,Normal Time,False,False,False,False,Turkey,West Germany,2,7,Loss,False
85,1954,Switzerland,1954-06-23,Group Stage,1,,Normal Time,False,False,False,False,West Germany,Turkey,7,2,Win,True
86,1954,Switzerland,1954-06-16,Group Stage,1,Group 3,Normal Time,False,False,False,False,Czechoslovakia,Uruguay,0,2,Loss,True
86,1954,Switzerland,1954-06-16,Group Stage,1,Group 3,Normal Time,False,False,False,False,Uruguay,Czechoslovakia,2,0,Win,False
87,1954,Switzerland,1954-06-16,Group Stage,1,Group 3,Normal Time,False,False,False,False,Austria,Scotland,1,0,Win,False
87,1954,Switzerland,1954-06-16,Group Stage,1,Group 3,Normal Time,False,False,False,False,Scotland,Austria,0,1,Loss,False
88,1954,Switzerland,1954-06-19,Group Stage,1,Group 3,Normal Time,False,False,False,False,Austria,Czechoslovakia,5,0,Win,False
